sample_name	amoxicillin	ampicillin	ceftriaxone	ciprofloxacin	gentamicin	levofloxacin	tetracycline	tobramycin
562.65665	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65674	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65675	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65676	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65691	resistant	resistant	NA	NA	NA	NA	NA	NA
562.6569	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65689	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65688	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65687	NA	resistant	NA	NA	NA	NA	NA	NA
562.65686	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65685	NA	resistant	NA	NA	NA	NA	NA	NA
562.65684	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65683	NA	resistant	NA	NA	NA	NA	NA	NA
562.65682	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65681	NA	resistant	NA	NA	NA	NA	NA	NA
562.6568	NA	resistant	NA	NA	NA	NA	NA	NA
562.65679	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65678	NA	resistant	NA	NA	NA	NA	NA	NA
562.65677	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65657	NA	resistant	NA	NA	NA	NA	NA	NA
562.65581	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6558	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65579	NA	resistant	NA	NA	NA	NA	NA	NA
